people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
2784,"Douglas Geiss",Douglas,A.,Geiss,,,1,D,1,Rep,HD-012,13002147,76560,,Douglas_Geiss,268250,0
2789,"Fred Durhal",Fred,,Durhal,Jr.,,1,D,1,Rep,HD-005,13002113,20126,,"Fred_Durhal,_Jr.",268228,0
2790,"Vincent Gregory",Vincent,,Gregory,,,1,D,2,Sen,SD-011,320034,88592,,Vincent_Gregory,268282,0
2791,"Harold Haugh",Harold,L.,Haugh,,,1,D,1,Rep,HD-022,6492451,76390,,Harold_Haugh,268299,0
2794,"Bertram Johnson",Bertram,Courtney,Johnson,,Bert,1,D,2,Sen,SD-002,535943,66110,,Bert_Johnson_(Michigan),249360,0
2803,"Matthew Lori",Matthew,,Lori,,Matt,2,R,1,Rep,HD-059,192598,105536,,Matt_Lori,268330,0
2806,"Pete Lund",Pete,,Lund,,,2,R,1,Rep,HD-036,13002276,87955,,Pete_Lund,268285,0
2807,"Bill Rogers",Bill,,Rogers,,,2,R,1,Rep,HD-042,317059,139936,,William_Rogers_(Michigan),268340,0
2812,"Vicki Barnett",Vicki,,Barnett,,,1,D,1,Rep,HD-037,218265,109689,,Vicki_Barnett,268287,0
2814,"Ellen Lipton",Ellen,Cogen,Lipton,,,1,D,1,Rep,HD-027,163448,105429,,Ellen_Lipton,268267,0
2816,"David Nathan",David,E.,Nathan,,,1,D,1,Rep,HD-008,320452,105361,,David_Nathan,268234,0
2818,"Alma Smith",Alma,Wheeler,Smith,,,1,D,1,Rep,HD-054,236759,8755,,Alma_Wheeler_Smith,195621,0
2819,"Woodrow Stanley",Woodrow,,Stanley,,,1,D,1,Rep,HD-034,295516,86960,,Woodrow_Stanley,268281,0
2820,"Rashida Tlaib",Rashida,,Tlaib,,,1,D,1,Rep,HD-006,13002117,105368,,Rashida_Tlaib,268236,0
2821,"Coleman Young",Coleman,A.,Young,II,,1,D,2,Sen,SD-001,6472861,66445,,Coleman_Young_II,249356,0
2823,"Terry Brown",Terry,L.,Brown,,,1,D,1,Rep,HD-084,631732,65025,,Terry_Brown_(Michigan),249410,0
2824,"Ed Clemente",Ed,,Clemente,,,1,D,1,Rep,HD-014,539623,38173,,Ed_Clemente,227537,0
2826,"Sarah Roberts",Sarah,,Roberts,,,1,D,1,Rep,HD-018,324583,87973,,Sarah_Roberts,268258,0
2831,"Jon Switalski",Jon,M.,Switalski,,,1,D,1,Rep,HD-028,6492688,87947,,Jon_Switalski,268262,0
2832,"Tory Rocca",Tory,,Rocca,,,2,R,2,Sen,SD-010,260133,37606,,Tory_Rocca,228483,0
2834,"James Marleau",James,,Marleau,,Jim,2,R,2,Sen,SD-012,274863,38124,,James_Marleau,227550,0
2835,"Thomas McMillin",Thomas,,McMillin,,Tom,2,R,1,Rep,HD-045,255005,19781,,Tom_McMillin,268305,0
2837,"Lisa Brown",Lisa,,Brown,,,1,D,1,Rep,HD-039,17704012,65671,,"Lisa_Brown,_Michigan_Representative",268291,0
2838,"Kate Segal",Kate,,Segal,,,1,D,1,Rep,HD-062,256710,86605,,Kate_Segal,263807,0
2839,"Dian Slavens",Dian,,Slavens,,,1,D,1,Rep,HD-021,320942,105399,,Dian_Slavens,268249,0
