bill_id,date,chamber,sequence,action
446663,2013-01-09,House,1,"Introduced By Representative Jim Stamas"
446663,2013-01-09,House,2,Adopted
446673,2013-01-09,House,1,"Introduced By Representative Jim Stamas"
446673,2013-01-09,House,2,Adopted
446689,2013-01-09,House,1,"Introduced By Representative Jim Stamas"
446689,2013-01-09,House,2,Adopted
446706,2013-01-09,House,1,"Introduced By Representative Jim Stamas"
446706,2013-01-09,House,2,Adopted
446706,2013-01-09,House,3," Roll Call # 3 Yeas 108 Nays 1"
446722,2013-01-09,House,1,"Introduced By Representative Jim Stamas"
446722,2013-01-09,House,2,Adopted
446722,2013-01-09,House,3," Roll Call # 2 Yeas 109 Nays 0"
446739,2013-01-09,House,1,"Introduced By Representative Jim Stamas"
446739,2013-01-09,House,2,Adopted
446757,2013-01-09,House,1,"Introduced By Representative Mike Shirkey"
446757,2013-01-09,House,2,"Read A First Time"
446757,2013-01-09,House,3,"Referred To Committee On Government Operations"
446757,2013-01-22,House,4,"Printed Joint Resolution Filed 01/10/2013"
446777,2013-01-09,House,1,"Introduced By Representative Dian Slavens"
446777,2013-01-09,House,2,"Read A First Time"
446777,2013-01-09,House,3,"Referred To Committee On Government Operations"
446777,2013-01-22,House,4,"Printed Bill Filed 01/10/2013"
446791,2013-01-09,House,1,"Introduced By Representative Dian Slavens"
446791,2013-01-09,House,2,"Read A First Time"
446791,2013-01-09,House,3,"Referred To Committee On Tax Policy"
446791,2013-01-22,House,4,"Printed Bill Filed 01/10/2013"
446809,2013-01-09,House,1,"Introduced By Representative Dian Slavens"
446809,2013-01-09,House,2,"Read A First Time"
446809,2013-01-09,House,3,"Referred To Committee On Tax Policy"
446809,2013-01-22,House,4,"Printed Bill Filed 01/10/2013"
446824,2013-01-09,House,1,"Introduced By Representative Dian Slavens"
446824,2013-01-09,House,2,"Read A First Time"
446824,2013-01-09,House,3,"Referred To Committee On Transportation"
446824,2013-01-22,House,4,"Printed Bill Filed 01/10/2013"
446842,2013-01-09,House,1,"Introduced By Representative John Walsh"
446842,2013-01-09,House,2,"Read A First Time"
