bill_id,date,chamber,sequence,action
1404064,2021-01-13,House,1,"Introduced By Representative Sarah Anthony"
1404064,2021-01-13,House,2,"Postponed For The Day"
1404064,2021-01-26,House,3,"Referred To Committee On Military, Veterans And Homeland Security"
1404097,2021-01-13,House,1,"Introduced By Representative Ben Frederick"
1404097,2021-01-13,House,2,Adopted
1404137,2021-01-26,Senate,1,"Introduced By Senator Adam Hollier"
1404137,2021-01-26,Senate,2,"Referred To Committee On Government Operations"
1404175,2021-01-13,Senate,1,"Introduced By Senator Dan Lauwers"
1404175,2021-01-13,Senate,2,"Rules Suspended"
1404175,2021-01-13,Senate,3,Adopted
1404175,2021-01-13,House,4,"Received In House"
1404175,2021-01-13,House,5,Adopted
1404175,2021-01-26,Senate,6,"House Concurrence Received"
1404175,2021-01-26,Senate,7,"Referred To Secretary For Record"
1404216,2021-01-13,House,1,"Introduced By Representative Ben Frederick"
1404216,2021-01-13,House,2,Adopted
1404254,2021-01-26,Senate,1,"Introduced By Senator Adam Hollier"
1404254,2021-01-26,Senate,2,"Referred To Committee On Government Operations"
1404294,2021-01-13,House,1,"Introduced By Representative Kyra Bolden"
1404294,2021-01-13,House,2,"Postponed For The Day"
1404294,2021-01-26,House,3,Adopted
1404334,2021-01-13,House,1,"Introduced By Representative John Damoose"
1404334,2021-01-13,House,2,"Postponed For The Day"
1404334,2021-01-28,House,3,"Substitute (h-1) Adopted"
1404334,2021-01-28,House,4,Adopted
1404373,2021-01-26,Senate,1,"Introduced By Senator Erika Geiss"
1404373,2021-01-26,Senate,2,"Referred To Committee On Government Operations"
1404412,2021-01-26,Senate,1,"Introduced By Senator Erika Geiss"
1404412,2021-01-26,Senate,2,"Referred To Committee On Government Operations"
1404454,2021-01-13,Senate,1,"Introduced By Senator Dan Lauwers"
1404454,2021-01-13,Senate,2,"Rules Suspended"
1404454,2021-01-13,Senate,3,Adopted
1404492,2021-01-13,House,1,"Introduced By Representative Ben Frederick"
1404492,2021-01-13,House,2,Adopted
1404492,2021-01-13,House,3,"Roll Call Roll Call # 2 Yeas 107 Nays 0 Excused 0 Not Voting 3"
1404532,2021-01-13,Senate,1,"Introduced By Senator Dan Lauwers"
1404532,2021-01-13,Senate,2,"Rules Suspended"
1404532,2021-01-13,Senate,3,Adopted
1404532,2021-01-13,House,4,"Received In House"
1404532,2021-01-13,House,5,Adopted
1404532,2021-01-26,Senate,6,"House Concurrence Received"
1404532,2021-01-26,Senate,7,"Referred To Secretary For Record"
1404569,2021-01-13,Senate,1,"Introduced By Senator Dan Lauwers"
1404569,2021-01-13,Senate,2,"Rules Suspended"
1404569,2021-01-13,Senate,3,Adopted
1404608,2021-01-13,House,1,"Introduced By Representative Ben Frederick"
1404608,2021-01-13,House,2,Adopted
1404608,2021-01-13,House,3,"Roll Call Roll Call # 3 Yeas 107 Nays 0 Excused 0 Not Voting 3"
1404645,2021-01-13,House,1,"Introduced By Representative Ben Frederick"
1404645,2021-01-13,House,2,Adopted
1404678,2021-01-13,House,1,"Introduced By Representative Ben Frederick"
1404678,2021-01-13,House,2,Adopted
1405855,2021-01-13,Senate,1,"Introduced By Senator Dale Zorn"
1405855,2021-01-13,Senate,2,"Referred To Committee On Judiciary And Public Safety"
1405855,2021-03-11,Senate,3,"Reported Favorably Without Amendment"
1405855,2021-03-11,Senate,4,"Referred To Committee Of The Whole"
1405855,2021-03-17,Senate,5,"Reported By Committee Of The Whole Favorably Without Amendment(s)"
1405855,2021-03-17,Senate,6,"Placed On Order Of Third Reading"
1405855,2021-03-18,Senate,7,"Passed Roll Call # 61 Yeas 20 Nays 15 Excused 1 Not Voting 0"
1405855,2021-03-18,House,8,"Received On 03/18/2021"
1405855,2021-03-18,House,9,"Read A First Time"
