bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
906212,567378,2017-01-11,House,"House Third Reading: Roll Call # 3",108,0,0,0,108
906246,567377,2017-01-11,House,"House Third Reading: Roll Call # 2",108,0,0,0,108
907655,597198,2017-03-02,House,"Reported With Recommendation With Substitute H-1",15,0,0,0,15
907655,597937,2017-03-02,House,"Reported With Recommendation With Substitute  H-1",15,0,0,0,15
907655,603607,2017-03-14,House,"House Third Reading: Given Immediate Effect Roll Call # 34",108,0,0,0,108
907655,661183,2017-06-08,Senate,"Reported Favorably Without Amendment",9,0,0,0,9
907655,664440,2017-06-15,Senate,"Senate Third Reading: Given Immediate Effect Roll Call # 269",38,0,0,0,38
907915,586463,2017-02-15,House,"Reported With Recommendation Without Amendment",7,4,0,0,11
907915,592433,2017-02-23,House,"House Third Reading: Defeated Roll Call # 5",52,55,0,0,107
910056,697403,2018-02-07,House,"Reported With Recommendation Without Amendment",12,1,0,0,13
910056,714836,2018-03-01,House,"House Third Reading: Given Immediate Effect Roll Call # 122",105,2,0,0,107
910056,753589,2018-05-15,Senate,"Reported Favorably Without Amendment",7,0,0,0,7
910056,762460,2018-06-12,Senate,"Senate Third Reading: Given Immediate Effect Roll Call # 491",36,0,0,1,37
910087,697375,2018-02-07,House,"Reported With Recommendation With Substitute  H-1",11,1,0,0,12
910087,714784,2018-03-01,House,"House Third Reading: Given Immediate Effect Roll Call # 121",105,2,0,0,107
910087,753603,2018-05-15,Senate,"Reported Favorably Without Amendment",7,0,0,0,7
910087,762467,2018-06-12,Senate,"Senate Third Reading: Given Immediate Effect Roll Call # 490",36,0,0,1,37
910087,764446,2018-06-12,House,"House Third Reading: Roll Call # 546",104,3,0,0,107
910122,725035,2018-03-15,House,"Reported With Recommendation For Referral To Committee On Law And Justice",9,0,0,0,9
916636,574977,2017-01-31,Senate,"Reported Favorably Without Amendment",5,0,0,0,5
916636,597470,2017-03-02,House,"Reported With Recommendation Without Amendment",6,3,0,0,9
917105,575967,2017-02-02,Senate,"Reported Favorably With Substitute 1",8,0,0,0,8
917105,579171,2017-02-02,Senate,"Reported Favorably With Substitute S-1",8,0,0,0,8
917105,581112,2017-02-09,Senate,"Senate Third Reading: Passed Roll Call # 22",34,3,0,1,38
917105,615118,2017-03-29,House,"Reported With Recommendation With Substitute  H-1",13,2,0,0,15
917105,635878,2017-04-27,House,"House Third Reading: Given Immediate Effect Roll Call # 81",100,9,0,0,109
917105,781420,2018-12-20,Senate,"Senate Third Reading: Roll Call # 1024",37,1,0,0,38
917118,678145,2017-10-18,House,"Reported With Recommendation For Referral To Committee On Communications And Technology",12,0,0,0,12
917155,574555,2017-01-31,Senate,"Reported Favorably Without Amendment",5,0,0,0,5
917155,576338,2017-02-02,Senate,"Senate Third Reading: Passed Roll Call # 12",35,0,0,3,38
917155,596823,2017-03-02,House,"Reported With Recommendation With Substitute H-1",9,0,0,0,9
