bill_id,date,chamber,sequence,action
906212,2017-01-11,House,1,"Introduced By Representative Dan Lauwers"
906212,2017-01-11,House,2,Adopted
906212,2017-01-11,House,3," Roll Call # 3 Yeas 108 Nays 0"
906246,2017-01-11,House,1,"Introduced By Representative Dan Lauwers"
906246,2017-01-11,House,2,Adopted
906246,2017-01-11,House,3," Roll Call # 2 Yeas 108 Nays 0"
906279,2017-01-11,House,1,"Introduced By Representative Dan Lauwers"
906279,2017-01-11,House,2,Adopted
906576,2017-01-11,House,1,"Introduced By Representative Dan Lauwers"
906576,2017-01-11,House,2,Adopted
906613,2017-01-11,House,1,"Introduced By Representative Dan Lauwers"
906613,2017-01-11,House,2,Adopted
906869,2017-01-11,House,1,"Introduced By Representative Dan Lauwers"
906869,2017-01-11,House,2,Adopted
907458,2017-01-11,House,1,"Introduced By Representative Peter Lucido"
907458,2017-01-11,House,2,"Read A First Time"
907458,2017-01-11,House,3,"Referred To Committee On Energy Policy"
907458,2017-01-12,House,4,"Bill Electronically Reproduced 01/11/2017"
907490,2017-01-11,House,1,"Introduced By Representative Peter Lucido"
907490,2017-01-11,House,2,"Read A First Time"
907490,2017-01-11,House,3,"Referred To Committee On Judiciary"
907490,2017-01-12,House,4,"Bill Electronically Reproduced 01/11/2017"
907526,2017-01-11,House,1,"Introduced By Representative Peter Lucido"
907526,2017-01-11,House,2,"Read A First Time"
907526,2017-01-11,House,3,"Referred To Committee On Judiciary"
907526,2017-01-12,House,4,"Bill Electronically Reproduced 01/11/2017"
907561,2017-01-11,House,1,"Introduced By Representative Rob Verheulen"
907561,2017-01-11,House,2,"Read A First Time"
907561,2017-01-11,House,3,"Referred To Committee On Local Government"
907561,2017-01-12,House,4,"Bill Electronically Reproduced 01/11/2017"
907589,2017-01-11,House,1,"Introduced By Representative Peter Lucido"
907589,2017-01-11,House,2,"Read A First Time"
907589,2017-01-11,House,3,"Referred To Committee On Judiciary"
907589,2017-01-12,House,4,"Bill Electronically Reproduced 01/11/2017"
907655,2017-01-11,House,1,"Introduced By Representative Peter Lucido"
907655,2017-01-11,House,2,"Read A First Time"
907655,2017-01-11,House,3,"Referred To Committee On Insurance"
907655,2017-01-12,House,4,"Bill Electronically Reproduced 01/11/2017"
907655,2017-03-02,House,5,"Reported With Recommendation With Substitute  H-1"
907655,2017-03-02,House,6,"Referred To Second Reading"
907655,2017-03-09,House,7,"Read A Second Time"
907655,2017-03-09,House,8,"Substitute  H-1 Adopted"
907655,2017-03-09,House,9,"Placed On Third Reading"
907655,2017-03-14,House,10,"Read A Third Time"
907655,2017-03-14,House,11,"Passed; Given Immediate Effect Roll Call # 34 Yeas 108 Nays 0"
907655,2017-03-14,House,12,"Title Amended"
907655,2017-03-14,House,13,Transmitted
907655,2017-03-15,Senate,14,"Referred To Committee On Insurance"
907655,2017-06-08,Senate,15,"Reported Favorably Without Amendment"
907655,2017-06-08,Senate,16,"Committee Recommended Immediate Effect"
907655,2017-06-08,Senate,17,"Referred To Committee Of The Whole"
