people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
2790,"Vincent Gregory",Vincent,,Gregory,,,1,D,2,Sen,SD-011,320034,88592,,Vincent_Gregory,268282,0
2794,"Bertram Johnson",Bertram,Courtney,Johnson,,Bert,1,D,2,Sen,SD-002,535943,66110,,Bert_Johnson_(Michigan),249360,0
2801,"Bettie Scott",Bettie,Cook,Scott,,,1,D,1,Rep,HD-003,313597,19954,,Bettie_Cook_Scott,249350,0
2809,"Kenneth Horn",Kenneth,,Horn,,Ken,2,R,2,Sen,SD-032,26959,65768,,Ken_Horn,249425,0
2811,"Marty Knollenberg",Marty,,Knollenberg,,,2,R,2,Sen,SD-013,100993,38241,,Marty_Knollenberg,249386,0
2821,"Coleman Young",Coleman,A.,Young,II,,1,D,2,Sen,SD-001,6472861,66445,,Coleman_Young_II,249356,0
2832,"Tory Rocca",Tory,,Rocca,,,2,R,2,Sen,SD-010,260133,37606,,Tory_Rocca,228483,0
2834,"James Marleau",James,,Marleau,,Jim,2,R,2,Sen,SD-012,274863,38124,,James_Marleau,227550,0
2851,"Rebekah Warren",Rebekah,,Warren,,,1,D,2,Sen,SD-018,24286,19884,,Rebekah_Warren,249392,0
2853,"Martin Griffin",Martin,J.,Griffin,,,1,D,1,Rep,HD-064,48981,19801,,Martin_Griffin,249397,0
2855,"Darwin Booher",Darwin,L.,Booher,,,2,R,2,Sen,SD-035,54860,37894,,Darwin_Booher,227598,0
2857,"Goeff Hansen",Goeff,,Hansen,,,2,R,2,Sen,SD-034,188494,38297,,Goeff_Hansen,227596,0
2859,"Dave Hildenbrand",Dave,,Hildenbrand,,,2,R,2,Sen,SD-029,6661554,124560,,Dave_Hildenbrand,227582,0
2862,"Arlan Meekhof",Arlan,B.,Meekhof,,,2,R,2,Sen,SD-030,63839,65687,,Arlan_Meekhof,249415,0
2864,"John Proos",John,M.,Proos,IV,,2,R,2,Sen,SD-021,105287,38165,,John_Proos,161214,0
2865,"Wayne Schmidt",Wayne,A.,Schmidt,,,2,R,2,Sen,SD-037,281968,87093,,Wayne_Schmidt,268407,0
