bill_id,date,chamber,sequence,action
219740,2011-01-12,House,1,"Introduced By Representative Jim Stamas"
219740,2011-01-12,House,2,Adopted
219741,2011-01-12,House,1,"Introduced By Representative Jim Stamas"
219741,2011-01-12,House,2," Roll Call # 2 Yeas 110 Nays 0"
219741,2011-01-12,House,3,Adopted
219742,2011-01-12,House,1,"Introduced By Representative Jim Stamas"
219742,2011-01-12,House,2,Adopted
219743,2011-01-12,House,1,"Introduced By Representative Jim Stamas"
219743,2011-01-12,House,2,Adopted
219744,2011-01-12,House,1,"Introduced By Representative Jim Stamas"
219744,2011-01-12,House,2,Adopted
219745,2011-01-12,Senate,1,"Rules Suspended"
219745,2011-01-12,Senate,2,Adopted
219745,2011-01-12,House,3,"Received In House"
219745,2011-01-12,House,4,"Adopted And Returned"
219745,2011-01-19,Senate,5,"House Concurrence Received"
219745,2011-01-19,Senate,6,"Referred To Secretary For Record"
219746,2011-01-12,Senate,1,"Rules Suspended"
219746,2011-01-12,Senate,2,Adopted
219746,2011-01-12,House,3,"Received In House"
219746,2011-01-12,House,4,"Adopted And Returned"
219746,2011-01-19,Senate,5,"House Concurrence Received"
219746,2011-01-19,Senate,6,"Referred To Secretary For Record"
219747,2011-01-12,Senate,1,"Rules Suspended"
219747,2011-01-12,Senate,2,Adopted
219747,2011-01-12,House,3,"Received In House"
219747,2011-01-12,House,4,"Adopted And Returned"
219747,2011-01-19,Senate,5,"House Concurrence Received"
219747,2011-01-19,Senate,6,"Referred To Secretary For Record"
219748,2011-01-12,Senate,1,"Rules Suspended"
219748,2011-01-12,Senate,2,Adopted
219749,2011-01-12,Senate,1,"Rules Suspended"
219749,2011-01-12,Senate,2,Adopted
224250,2011-01-13,House,1,"Introduced By Representative Kurt Heise"
224250,2011-01-13,House,2,"Read A First Time"
224250,2011-01-13,House,3,"Referred To Committee On Tax Policy"
224250,2011-01-18,House,4,"Printed Bill Filed 01/14/2011"
224251,2011-01-13,House,1,"Introduced By Representative Bruce Rendon"
224251,2011-01-13,House,2,"Read A First Time"
224251,2011-01-13,House,3,"Referred To Committee On Tax Policy"
224251,2011-01-18,House,4,"Printed Bill Filed 01/14/2011"
224252,2011-01-13,House,1,"Introduced By Representative Paul Opsommer"
224252,2011-01-13,House,2,"Read A First Time"
224252,2011-01-13,House,3,"Referred To Committee On Commerce"
224252,2011-01-18,House,4,"Printed Bill Filed 01/14/2011"
224252,2011-04-26,House,5,"Reported With Recommendation For Referral To Committee On Families, Children, And Seniors"
224252,2011-04-26,House,6,"Recommendation Concurred In"
224252,2011-05-24,House,7,"Reported With Recommendation Without Amendment"
224252,2011-05-24,House,8,"Referred To Second Reading"
224252,2011-06-07,House,9,"Read A Second Time"
224252,2011-06-07,House,10,"Placed On Third Reading"
224252,2011-06-08,House,11,"Read A Third Time"
224252,2011-06-08,House,12,"Passed; Given Immediate Effect Roll Call # 166 Yeas 63 Nays 46"
224252,2011-06-08,House,13,Transmitted
224252,2011-06-09,Senate,14,"Referred To Committee On Reforms, Restructuring And Reinventing"
224252,2011-12-01,Senate,15,"Reported Favorably Without Amendment"
224252,2011-12-01,Senate,16,"Committee Recommended Immediate Effect"
224252,2011-12-01,Senate,17,"Referred To Committee Of The Whole"
224252,2012-12-06,Senate,18,"Reported By Committee Of The Whole Favorably With Substitute S-8"
224252,2012-12-06,Senate,19,"Substitute  S-8 Concurred In"
