bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1656706,2027,HB4001,4,Passed,2023-03-07,"Individual income tax: retirement or pension benefits; limitations and restrictions on deductions of certain retirement or pension benefits, revenue distributions, earned income tax credit, rebate payments, rebate and revitalization and placemaking funds; revise, increase, and provide for. Amends title & secs. 30, 51, 272 & 695 of 1967 PA 281 (MCL 206.30 et seq.) & adds secs. 51h, 476 & 696.","Individual income tax: retirement or pension benefits; limitations and restrictions on deductions of certain retirement or pension benefits, revenue distributions, earned income tax credit, rebate payments, rebate and revitalization and placemaking funds; revise, increase, and provide for. Amends title & secs. 30, 51, 272 & 695 of 1967 PA 281 (MCL 206.30 et seq.) & adds secs. 51h, 476 & 696.",0,,2023-03-07,"Assigned Pa 4'23",https://legiscan.com/MI/bill/HB4001/2023,https://legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-4001
1656684,2027,HB4002,2,Engrossed,2023-01-26,"Individual income tax: credit; earned income tax credit; restore. Amends sec. 272 of 1967 PA 281 (MCL 206.272).","Individual income tax: credit; earned income tax credit; restore. Amends sec. 272 of 1967 PA 281 (MCL 206.272).",4717,"Senate Finance, Insurance, And Consumer Protection",2023-04-26,"Referred To Committee On Finance, Insurance, And Consumer Protection",https://legiscan.com/MI/bill/HB4002/2023,https://legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-4002
1656753,2027,HB4003,2,Engrossed,2023-03-08,"Civil rights: general discrimination; sexual orientation and gender identity or expression; include as categories protected under the Elliott-Larsen civil rights act. Amends title & secs. 102, 103, 202, 203, 204, 205, 206, 207, 209, 301, 302, 302a, 402, 501, 502, 504, 505 & 506 of 1976 PA 453 (MCL 37.2102 et seq.).","Civil rights: general discrimination; sexual orientation and gender identity or expression; include as categories protected under the Elliott-Larsen civil rights act. Amends title & secs. 102, 103, 202, 203, 204, 205, 206, 207, 209, 301, 302, 302a, 402, 501, 502, 504, 505 & 506 of 1976 PA 453 (MCL 37.2102 et seq.).",4720,"Senate Civil Rights, Judiciary, And Public Safety",2023-03-09,"Referred To Committee On Civil Rights, Judiciary, And Public Safety",https://legiscan.com/MI/bill/HB4003/2023,https://legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-4003
1656778,2027,HB4004,4,Passed,2023-03-23,"Labor: collective bargaining; requirement for agency fee for nonunion members; allow in bargaining agreements and as condition of employment in public sector. Amends secs. 9, 10 & 15 of 1947 PA 336 (MCL 423.209 et seq.).","Labor: collective bargaining; requirement for agency fee for nonunion members; allow in bargaining agreements and as condition of employment in public sector. Amends secs. 9, 10 & 15 of 1947 PA 336 (MCL 423.209 et seq.).",0,,2023-03-23,"Assigned Pa 9'23",https://legiscan.com/MI/bill/HB4004/2023,https://legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-4004
1656609,2027,HB4005,2,Engrossed,2023-03-08,"Labor: collective bargaining; collective bargaining rights; revise to restore former provisions. Amends secs. 1, 2, 8, 14, 17 & 22 of 1939 PA 176 (MCL 423.1 et seq.).","Labor: collective bargaining; collective bargaining rights; revise to restore former provisions. Amends secs. 1, 2, 8, 14, 17 & 22 of 1939 PA 176 (MCL 423.1 et seq.).",4719,"Senate Labor",2023-03-09,"Referred To Committee On Labor",https://legiscan.com/MI/bill/HB4005/2023,https://legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-4005
1656732,2027,HB4006,4,Passed,2023-03-23,"Crimes: abortion; penalty for administering with intent to procure miscarriage and advertisement or sale of certain drugs; repeal. Repeals secs. 14 & 15 of 1931 PA 328 (MCL 750.14 & 750.15).","Crimes: abortion; penalty for administering with intent to procure miscarriage and advertisement or sale of certain drugs; repeal. Repeals secs. 14 & 15 of 1931 PA 328 (MCL 750.14 & 750.15).",0,,2023-03-23,"Assigned Pa 11'23",https://legiscan.com/MI/bill/HB4006/2023,https://legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-4006
1656317,2027,HB4007,4,Passed,2023-03-23,"Labor: hours and wages; prevailing wage; reenact. Creates new act.","Labor: hours and wages; prevailing wage; reenact. Creates new act.",0,,2023-03-23,"Assigned Pa 10'23",https://legiscan.com/MI/bill/HB4007/2023,https://legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-4007
1656453,2027,HB4008,1,Introduced,2023-01-12,"Individual income tax: retirement or pension benefits; 3-tier limitations and restrictions on deduction for retirement or pension benefits; modify. Amends sec. 30 of 1967 PA 281 (MCL 206.30).","Individual income tax: retirement or pension benefits; 3-tier limitations and restrictions on deduction for retirement or pension benefits; modify. Amends sec. 30 of 1967 PA 281 (MCL 206.30).",0,,2023-04-19,"Motion To Discharge Committee Postponed For Day",https://legiscan.com/MI/bill/HB4008/2023,https://legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-4008
1656522,2027,HB4009,1,Introduced,2023-01-12,"Individual income tax: credit; earned income tax credit; restore. Amends sec. 272 of 1967 PA 281 (MCL 206.272).","Individual income tax: credit; earned income tax credit; restore. Amends sec. 272 of 1967 PA 281 (MCL 206.272).",0,,2023-04-19,"Motion To Discharge Committee Postponed For Day",https://legiscan.com/MI/bill/HB4009/2023,https://legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-4009
1656914,2027,HB4010,1,Introduced,2023-01-12,"Sales tax: exemptions; weapon safety devices; exempt. Amends 1933 PA 167 (MCL 205.51 - 205.78) by adding sec. 4gg.","Sales tax: exemptions; weapon safety devices; exempt. Amends 1933 PA 167 (MCL 205.51 - 205.78) by adding sec. 4gg.",825,"House Tax Policy",2023-01-17,"Bill Electronically Reproduced 01/12/2023",https://legiscan.com/MI/bill/HB4010/2023,https://legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-4010
1656638,2027,HB4011,2,Engrossed,2024-02-29,"Labor: health and safety; penalty for failure to report a death; decrease by the maximum allowable amount if the death occurs to a certain individual on a family farm. Amends sec. 35 of 1974 PA 154 (MCL 408.1035).","Labor: health and safety; penalty for failure to report a death; decrease by the maximum allowable amount if the death occurs to a certain individual on a family farm. Amends sec. 35 of 1974 PA 154 (MCL 408.1035).",838,"Senate Government Operations",2024-03-05,"Referred To Committee On Government Operations",https://legiscan.com/MI/bill/HB4011/2023,https://legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-4011
1656430,2027,HB4012,4,Passed,2024-04-09,"Traffic control: speed restrictions; procedure for establishing speed limits; modify. Amends sec. 628 of 1949 PA 300 (MCL 257.628).","Traffic control: speed restrictions; procedure for establishing speed limits; modify. Amends sec. 628 of 1949 PA 300 (MCL 257.628).",0,,2024-04-09,"Assigned Pa 33'24 With Immediate Effect",https://legiscan.com/MI/bill/HB4012/2023,https://legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-4012
1656277,2027,HB4013,1,Introduced,2023-01-12,"Occupations: code; personal telephone numbers and email addresses of licensees and registrants under the occupational code; prohibit the department of licensing and regulatory affairs from selling. Amends 1980 PA 299 (MCL 339.101 - 339.2677) by adding sec. 218.","Occupations: code; personal telephone numbers and email addresses of licensees and registrants under the occupational code; prohibit the department of licensing and regulatory affairs from selling. Amends 1980 PA 299 (MCL 339.101 - 339.2677) by adding sec. 218.",895,"House Regulatory Reform",2023-01-17,"Bill Electronically Reproduced 01/12/2023",https://legiscan.com/MI/bill/HB4013/2023,https://legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-4013
1656295,2027,HB4014,1,Introduced,2023-01-12,"Occupations: individual licensing and registration; personal telephone numbers and email addresses of licensees and registrants under the skilled trades regulation act; prohibit the department of licensing and regulatory affairs from selling. Amends 2016 PA 407 (MCL 339.5101 - 339.6133) by adding sec. 218.","Occupations: individual licensing and registration; personal telephone numbers and email addresses of licensees and registrants under the skilled trades regulation act; prohibit the department of licensing and regulatory affairs from selling. Amends 2016 PA 407 (MCL 339.5101 - 339.6133) by adding sec. 218.",895,"House Regulatory Reform",2023-01-17,"Bill Electronically Reproduced 01/12/2023",https://legiscan.com/MI/bill/HB4014/2023,https://legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-4014
1656337,2027,HB4015,1,Introduced,2023-01-12,"Insurance: health insurers; limit amount on co-pay for prescription insulin; provide for. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 3406z.","Insurance: health insurers; limit amount on co-pay for prescription insulin; provide for. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 3406z.",0,,2024-05-23,"Referred To Second Reading",https://legiscan.com/MI/bill/HB4015/2023,https://legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-4015
1656800,2027,HB4016,4,Passed,2023-03-08,"Appropriations: supplemental; appropriations for multiple departments for fiscal years 2021-2022 and 2022-2023; provide for. Creates appropriation act.","Appropriations: supplemental; appropriations for multiple departments for fiscal years 2021-2022 and 2022-2023; provide for. Creates appropriation act.",0,,2023-03-08,"Assigned Pa 5'23 With Immediate Effect",https://legiscan.com/MI/bill/HB4016/2023,https://legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-4016
1656872,2027,HB4017,1,Introduced,2023-01-12,"Appropriations: supplemental; supplemental appropriations in the school aid act for fiscal years 2021-2022 and 2022-2023; provide for. Amends secs. 11, 17b, 201 & 236 of 1979 PA 94 (MCL 388.1611 et seq.) & adds secs. 201f & 236m.","Appropriations: supplemental; supplemental appropriations in the school aid act for fiscal years 2021-2022 and 2022-2023; provide for. Amends secs. 11, 17b, 201 & 236 of 1979 PA 94 (MCL 388.1611 et seq.) & adds secs. 201f & 236m.",0,,2024-09-24,"Notice Given To Discharge Committee",https://legiscan.com/MI/bill/HB4017/2023,https://legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-4017
1662046,2027,HB4018,1,Introduced,2023-01-17,"Holidays: other; ""Fred Korematsu Day""; designate as January 30 of each year. Amends title of 2003 PA 225 (MCL 435.301 - 435.303) & adds sec. 4.","Holidays: other; ""Fred Korematsu Day""; designate as January 30 of each year. Amends title of 2003 PA 225 (MCL 435.301 - 435.303) & adds sec. 4.",0,,2023-03-22,"Referred To Second Reading",https://legiscan.com/MI/bill/HB4018/2023,https://legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-4018
1665972,2027,HB4019,1,Introduced,2023-01-18,"Children: parental rights; process to allow the reinstatement of terminated parental rights; create. Amends 1939 PA 288 (MCL 710.21 - 712B.41) by adding sec. 21a to ch. XIIA.","Children: parental rights; process to allow the reinstatement of terminated parental rights; create. Amends 1939 PA 288 (MCL 710.21 - 712B.41) by adding sec. 21a to ch. XIIA.",2827,"House Criminal Justice",2023-01-19,"Bill Electronically Reproduced 01/18/2023",https://legiscan.com/MI/bill/HB4019/2023,https://legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-4019
1666177,2027,HB4020,1,Introduced,2023-01-18,"Education: elementary; requirements related to the retention of certain grade 3 pupils; modify. Amends sec. 1280f of 1976 PA 451 (MCL 380.1280f).","Education: elementary; requirements related to the retention of certain grade 3 pupils; modify. Amends sec. 1280f of 1976 PA 451 (MCL 380.1280f).",818,"House Education",2023-01-19,"Bill Electronically Reproduced 01/18/2023",https://legiscan.com/MI/bill/HB4020/2023,https://legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-4020
1666123,2027,HB4021,4,Passed,2023-12-31,"Law enforcement: training; definition of peace officer in ORV laws; include. Amends secs. 81101, 81132, 81145, 81146 & 81150 of 1994 PA 451 (MCL 324.81101 et seq.).","Law enforcement: training; definition of peace officer in ORV laws; include. Amends secs. 81101, 81132, 81145, 81146 & 81150 of 1994 PA 451 (MCL 324.81101 et seq.).",0,,2023-12-31,"Assigned Pa 210'23",https://legiscan.com/MI/bill/HB4021/2023,https://legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-4021
1665522,2027,HB4022,1,Introduced,2023-01-18,"Liquor: licenses; certain donations to nonprofits; allow. Amends 1998 PA 58 (MCL 436.1101 - 436.2303) by adding sec. 1016.","Liquor: licenses; certain donations to nonprofits; allow. Amends 1998 PA 58 (MCL 436.1101 - 436.2303) by adding sec. 1016.",895,"House Regulatory Reform",2023-01-19,"Bill Electronically Reproduced 01/18/2023",https://legiscan.com/MI/bill/HB4022/2023,https://legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-4022
1665672,2027,HB4023,1,Introduced,2023-01-18,"Environmental protection: underground storage tanks; placement distance of underground storage tanks from a public water supply system; revise. Amends sec. 21102a of 1994 PA 451 (MCL 324.21102a) & adds sec. 21102b.","Environmental protection: underground storage tanks; placement distance of underground storage tanks from a public water supply system; revise. Amends sec. 21102a of 1994 PA 451 (MCL 324.21102a) & adds sec. 21102b.",4744,"House Natural Resources, Environment, Tourism And Outdoor Recreation",2023-01-19,"Bill Electronically Reproduced 01/18/2023",https://legiscan.com/MI/bill/HB4023/2023,https://legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-4023
1665576,2027,HB4024,1,Introduced,2023-01-18,"Criminal procedure: jurisdiction; venue for prosecution of delivery of a controlled substance causing death; modify. Amends sec. 317a of 1931 PA 328 (MCL 750.317a). TIE BAR WITH: HB 4025'23","Criminal procedure: jurisdiction; venue for prosecution of delivery of a controlled substance causing death; modify. Amends sec. 317a of 1931 PA 328 (MCL 750.317a). TIE BAR WITH: HB 4025'23",2827,"House Criminal Justice",2023-01-19,"Bill Electronically Reproduced 01/18/2023",https://legiscan.com/MI/bill/HB4024/2023,https://legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-4024
