bill_id,date,chamber,sequence,action
1652293,2023-01-11,House,1,"Introduced By Representative Abraham Aiyash"
1652293,2023-01-11,House,2,Adopted
1652423,2023-01-11,House,1,"Introduced By Representative Abraham Aiyash"
1652423,2023-01-11,House,2,Adopted
1652423,2023-01-11,House,3,"Roll Call Roll Call # 2 Yeas 100 Nays 9 Excused 0 Not Voting 1"
1652552,2023-01-11,House,1,"Introduced By Representative Abraham Aiyash"
1652552,2023-01-11,House,2,Adopted
1652552,2023-01-11,House,3,"Roll Call Roll Call # 3 Yeas 105 Nays 4 Excused 0 Not Voting 1"
1652681,2023-01-11,Senate,1,"Introduced By Senator Samir Singh"
1652681,2023-01-11,Senate,2,"Rules Suspended"
1652681,2023-01-11,Senate,3,Adopted
1652681,2023-01-12,House,4,"Received In House"
1652681,2023-01-12,House,5,Adopted
1652681,2023-01-12,House,6,"Returned To Senate"
1652681,2023-01-18,Senate,7,"House Concurrence Received"
1652681,2023-01-18,Senate,8,"Referred To Secretary For Record"
1652814,2023-01-11,House,1,"Introduced By Representative Abraham Aiyash"
1652814,2023-01-11,House,2,Adopted
1652946,2023-01-11,House,1,"Introduced By Representative Abraham Aiyash"
1652946,2023-01-11,House,2,Adopted
1653077,2023-01-11,Senate,1,"Introduced By Senator Samir Singh"
1653077,2023-01-11,Senate,2,"Rules Suspended"
1653077,2023-01-11,Senate,3,Adopted
1653077,2023-01-12,House,4,"Received In House"
1653077,2023-01-12,House,5,Adopted
1653077,2023-01-12,House,6,"Returned To Senate"
1653077,2023-01-18,Senate,7,"House Concurrence Received"
1653077,2023-01-18,Senate,8,"Referred To Secretary For Record"
1653209,2023-01-11,Senate,1,"Introduced By Senator Samir Singh"
1653209,2023-01-11,Senate,2,"Rules Suspended"
1653209,2023-01-11,Senate,3,Adopted
1653209,2023-01-11,House,4,"Received In House"
1653209,2023-01-11,House,5,Adopted
1653209,2023-01-11,House,6,"Returned To Senate"
1653209,2023-01-12,Senate,7,"House Concurrence Received"
1653209,2023-01-12,Senate,8,"Referred To Secretary For Record"
1653339,2023-01-11,Senate,1,"Introduced By Senator Samir Singh"
1653339,2023-01-11,Senate,2,"Rules Suspended"
1653339,2023-01-11,Senate,3,Adopted
1653339,2023-01-11,House,4,"Received In House"
1653339,2023-01-11,House,5,Adopted
1653339,2023-01-11,House,6,"Returned To Senate"
1653339,2023-01-12,Senate,7,"House Concurrence Received"
1653339,2023-01-12,Senate,8,"Referred To Secretary For Record"
1653470,2023-01-11,Senate,1,"Introduced By Senator Samir Singh"
1653470,2023-01-11,Senate,2,"Rules Suspended"
1653470,2023-01-11,Senate,3,Adopted
1653600,2023-01-11,Senate,1,"Introduced By Senator Samir Singh"
1653600,2023-01-11,Senate,2,"Rules Suspended"
1653600,2023-01-11,Senate,3,Adopted
1653732,2023-01-11,House,1,"Introduced By Representative Abraham Aiyash"
1653732,2023-01-11,House,2,Adopted
1655646,2023-01-12,House,1,"Introduced By Representative Donni Steele"
1655646,2023-01-12,House,2,Adopted
1655647,2023-01-12,House,1,"Introduced By Representative David Prestin"
1655647,2023-01-12,House,2,Adopted
1655648,2023-01-12,House,1,"Introduced By Representative Mike Harris"
1655648,2023-01-12,House,2,Adopted
1655649,2023-01-12,House,1,"Introduced By Representative Pauline Wendzel"
1655649,2023-01-12,House,2,Adopted
1655650,2023-01-12,House,1,"Introduced By Representative Robert J. Bezotte"
1655650,2023-01-12,House,2,Adopted
1656277,2023-01-12,House,1,"Introduced By Representative Bradley Slagh"
1656277,2023-01-12,House,2,"Read A First Time"
1656277,2023-01-12,House,3,"Referred To Committee On Regulatory Reform"
1656277,2023-01-17,House,4,"Bill Electronically Reproduced 01/12/2023"
1656295,2023-01-12,House,1,"Introduced By Representative Bradley Slagh"
1656295,2023-01-12,House,2,"Read A First Time"
1656295,2023-01-12,House,3,"Referred To Committee On Regulatory Reform"
1656295,2023-01-17,House,4,"Bill Electronically Reproduced 01/12/2023"
