bill_id,date,chamber,sequence,action
86852,2009-01-22,,1,"Introduced By Representative Paul Opsommer"
86852,2009-01-22,,2,"Read A First Time"
86852,2009-01-22,,3,"Referred To Committee On Tax Policy"
86852,2009-01-27,,4,"Printed Bill Filed 01/23/2009"
86853,2009-01-22,,1,"Introduced By Representative Paul Opsommer"
86853,2009-01-22,,2,"Read A First Time"
86853,2009-01-22,,3,"Referred To Committee On Ethics And Elections"
86853,2009-01-27,,4,"Printed Bill Filed 01/23/2009"
86854,2009-01-22,,1,"Introduced By Representative Brian Calley"
86854,2009-01-22,,2,"Read A First Time"
86854,2009-01-22,,3,"Referred To Committee On Tax Policy"
86854,2009-01-27,,4,"Printed Bill Filed 01/23/2009"
86855,2009-01-22,,1,"Introduced By Representative Brian Calley"
86855,2009-01-22,,2,"Read A First Time"
86855,2009-01-22,,3,"Referred To Committee On Energy And Technology"
86855,2009-01-27,,4,"Printed Bill Filed 01/23/2009"
86856,2009-01-22,,1,"Introduced By Representative Brian Calley"
86856,2009-01-22,,2,"Read A First Time"
86856,2009-01-22,,3,"Referred To Committee On Families And Children's Services"
86856,2009-01-27,,4,"Printed Bill Filed 01/23/2009"
86857,2009-01-22,,1,"Introduced By Representative Lesia Liss"
86857,2009-01-22,,2,"Read A First Time"
86857,2009-01-22,,3,"Referred To Committee On Families And Children's Services"
86857,2009-01-27,,4,"Printed Bill Filed 01/23/2009"
86858,2009-01-22,,1,"Introduced By Representative Lesia Liss"
86858,2009-01-22,,2,"Read A First Time"
86858,2009-01-22,,3,"Referred To Committee On Health Policy"
86858,2009-01-27,,4,"Printed Bill Filed 01/23/2009"
86859,2009-01-22,,1,"Introduced By Representative Lesia Liss"
86859,2009-01-22,,2,"Read A First Time"
86859,2009-01-22,,3,"Referred To Committee On Labor"
86859,2009-01-27,,4,"Printed Bill Filed 01/23/2009"
86859,2009-02-03,,5,"Reassign To Committee On Health Policy 01/28/2009"
86860,2009-01-22,,1,"Introduced By Representative Lesia Liss"
86860,2009-01-22,,2,"Read A First Time"
86860,2009-01-22,,3,"Referred To Committee On Health Policy"
86860,2009-01-27,,4,"Printed Bill Filed 01/23/2009"
86861,2009-01-22,,1,"Introduced By Representative Lesia Liss"
86861,2009-01-22,,2,"Read A First Time"
86861,2009-01-22,,3,"Referred To Committee On Health Policy"
86861,2009-01-27,,4,"Printed Bill Filed 01/23/2009"
86862,2009-01-22,,1,"Introduced By Representative Lesia Liss"
86862,2009-01-22,,2,"Read A First Time"
86862,2009-01-22,,3,"Referred To Committee On Ethics And Elections"
