bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
678596,384363,2015-01-14,House,"House Third Reading: Roll Call # 3",109,0,0,0,109
678908,384318,2015-01-14,House,"House Third Reading: Roll Call # 2",109,0,0,0,109
681491,393795,2015-02-11,House,"Reported With Recommendation Without Amendment",11,0,0,0,11
681771,477727,2015-10-14,House,"Reported With Recommendation With Substitute  H-2",8,0,0,0,8
681771,480695,2015-10-28,House,"House Third Reading: Given Immediate Effect Roll Call # 392",105,0,0,0,105
681771,548144,2016-05-24,Senate,"Reported Favorably Without Amendment",5,0,0,0,5
681771,562390,2016-09-08,Senate,"Senate Third Reading: Given Immediate Effect Roll Call # 502",37,0,0,0,37
681850,397499,2015-02-18,House,"Reported With Recommendation With Substitute  H-1",8,0,0,0,8
682027,413326,2015-03-18,House,"Reported With Recommendation With Substitute  H-1",17,0,0,0,17
682027,420850,2015-03-26,House,"House Third Reading: Given Immediate Effect Roll Call # 51",106,4,0,0,110
682027,445781,2015-05-12,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
682027,448500,2015-05-19,Senate,"Senate Third Reading: Given Immediate Effect Roll Call # 194",35,1,0,2,38
682075,539802,2016-04-28,House,"Reported With Recommendation Without Amendment",10,6,0,0,16
682177,412572,2015-03-17,House,"Reported With Recommendation Without Amendment",5,3,0,0,8
682177,416976,2015-03-25,House,"House Third Reading: Given Immediate Effect Roll Call # 45",70,40,0,0,110
682227,394146,2015-02-11,House,"Reported With Recommendation Without Amendment",11,0,0,0,11
685270,436116,2015-04-21,Senate,"Reported Favorably With Substitute  S-1",4,0,0,0,4
685294,385459,2015-01-21,Senate,"Reported Favorably With Substitute  S-1",5,0,0,0,5
685294,389745,2015-02-03,Senate,"Senate Third Reading: Passed Roll Call # 7",37,0,0,1,38
685294,408872,2015-03-10,House,"Reported With Recommendation With Substitute  H-1",9,1,0,0,10
685294,434392,2015-04-16,House,"House Third Reading: Given Immediate Effect Roll Call # 62",82,28,0,0,110
685294,438633,2015-04-23,Senate,"Senate Third Reading: Roll Call # 108",37,0,0,1,38
685310,422261,2015-03-26,Senate,"Reported Favorably With Substitute  S-2",7,0,0,0,7
685352,394598,2015-02-11,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
685352,398404,2015-02-19,Senate,"Senate Third Reading: Passed Roll Call # 18",38,0,0,0,38
685352,413444,2015-03-18,House,"Reported With Recommendation Without Amendment",27,0,0,0,27
685352,421928,2015-03-26,House,"House Third Reading: Given Immediate Effect Roll Call # 49",109,1,0,0,110
685367,543150,2016-05-05,Senate,"Reported Favorably With Substitute  S-1",3,1,0,0,4
685380,447108,2015-05-14,Senate,"Reported Favorably With Substitute  S-1",3,0,0,0,3
685380,447109,2015-05-14,Senate,"Senate Third Reading: Passed Roll Call # 171",22,15,0,1,38
685396,394515,2015-02-11,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
685396,398624,2015-02-19,Senate,"Senate Third Reading: Passed Roll Call # 17",38,0,0,0,38
685396,413377,2015-03-18,House,"Reported With Recommendation Without Amendment",27,0,0,0,27
685396,418720,2015-03-26,House,"House Third Reading: Given Immediate Effect Roll Call # 48",108,2,0,0,110
685409,513305,2016-03-03,Senate,"Reported Favorably With Recommendation For Referral To Committee On Natural Resources",4,0,0,0,4
685438,481129,2015-11-10,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
685438,481130,2015-11-10,Senate,"Senate Third Reading: Passed Roll Call # 529",23,13,0,2,38
685438,482004,2015-12-08,House,"Reported With Recommendation With Substitute  H-2",5,2,0,0,7
685438,482083,2015-12-09,House,"House Third Reading: Given Immediate Effect Roll Call # 466",54,51,0,0,105
685438,482648,2015-12-16,Senate,"Senate Third Reading: Roll Call # 647",24,13,0,1,38
685438,482649,2015-12-16,House,"House Third Reading: Roll Call # 505",54,52,0,0,106
