bill_id,date,chamber,sequence,action
676499,2015-01-14,Senate,1,"Introduced By Senator Michael Kowall"
676499,2015-01-14,Senate,2,"Rules Suspended"
676499,2015-01-14,Senate,3,Adopted
676546,2015-01-14,Senate,1,"Introduced By Senator Michael Kowall"
676546,2015-01-14,Senate,2,"Rules Suspended"
676546,2015-01-14,Senate,3,Adopted
676546,2015-01-14,House,4,"Received In House"
676546,2015-01-14,House,5,"Adopted And Returned"
676546,2015-01-20,Senate,6,"House Concurrence Received"
676546,2015-01-20,Senate,7,"Referred To Secretary For Record"
676594,2015-01-14,Senate,1,"Introduced By Senator Michael Kowall"
676594,2015-01-14,Senate,2,"Rules Suspended"
676594,2015-01-14,Senate,3,Adopted
676594,2015-01-14,House,4,"Received In House"
676594,2015-01-14,House,5,"Adopted And Returned"
676594,2015-01-20,Senate,6,"House Concurrence Received"
676594,2015-01-20,Senate,7,"Referred To Secretary For Record"
676641,2015-01-15,House,1,"Introduced By Representative Kurt Heise"
676641,2015-01-15,House,2,"Read A First Time"
676641,2015-01-15,House,3,"Referred To Committee On Local Government"
676641,2015-01-20,House,4,"Printed Bill Filed 01/16/2015"
676689,2015-01-14,Senate,1,"Introduced By Senator Michael Kowall"
676689,2015-01-14,Senate,2,"Rules Suspended"
676689,2015-01-14,Senate,3,Adopted
676689,2015-01-14,House,4,"Received In House"
676689,2015-01-14,House,5,"Adopted And Returned"
676689,2015-01-20,Senate,6,"House Concurrence Received"
676689,2015-01-20,Senate,7,"Referred To Secretary For Record"
678275,2015-01-14,House,1,"Introduced By Representative Aric Nesbitt"
678275,2015-01-14,House,2,Adopted
678384,2015-01-14,House,1,"Introduced By Representative Aric Nesbitt"
678384,2015-01-14,House,2,Adopted
678494,2015-01-14,House,1,"Introduced By Representative Aric Nesbitt"
678494,2015-01-14,House,2,Adopted
678596,2015-01-14,House,1,"Introduced By Representative Aric Nesbitt"
678596,2015-01-14,House,2,Adopted
678596,2015-01-14,House,3," Roll Call # 3 Yeas 109 Nays 0"
678700,2015-01-14,Senate,1,"Introduced By Senator Michael Kowall"
678700,2015-01-14,Senate,2,"Rules Suspended"
678700,2015-01-14,Senate,3,Adopted
678808,2015-01-14,House,1,"Introduced By Representative Aric Nesbitt"
678808,2015-01-14,House,2,Adopted
678908,2015-01-14,House,1,"Introduced By Representative Aric Nesbitt"
678908,2015-01-14,House,2,Adopted
678908,2015-01-14,House,3," Roll Call # 2 Yeas 109 Nays 0"
681347,2015-01-15,House,1,"Introduced By Representative Tim Kelly"
681347,2015-01-15,House,2,"Read A First Time"
681347,2015-01-15,House,3,"Referred To Committee On Judiciary"
681347,2015-01-20,House,4,"Printed Bill Filed 01/16/2015"
681368,2015-01-15,House,1,"Introduced By Representative Phil Phelps"
681368,2015-01-15,House,2,"Read A First Time"
681368,2015-01-15,House,3,"Referred To Committee On Education"
681368,2015-01-20,House,4,"Printed Bill Filed 01/16/2015"
681392,2015-01-15,House,1,"Introduced By Representative Kurt Heise"
681392,2015-01-15,House,2,"Read A First Time"
681392,2015-01-15,House,3,"Referred To Committee On Local Government"
681392,2015-01-20,House,4,"Printed Bill Filed 01/16/2015"
681418,2015-01-15,House,1,"Introduced By Representative Tim Kelly"
681418,2015-01-15,House,2,"Read A First Time"
681418,2015-01-15,House,3,"Referred To Committee On Health Policy"
681418,2015-01-20,House,4,"Printed Bill Filed 01/16/2015"
681443,2015-01-15,House,1,"Introduced By Representative Tim Kelly"
681443,2015-01-15,House,2,"Read A First Time"
681443,2015-01-15,House,3,"Referred To Committee On Communications And Technology"
681443,2015-01-20,House,4,"Printed Bill Filed 01/16/2015"
681467,2015-01-15,House,1,"Introduced By Representative Robert Kosowski"
681467,2015-01-15,House,2,"Read A First Time"
681467,2015-01-15,House,3,"Referred To Committee On Local Government"
681467,2015-01-20,House,4,"Printed Bill Filed 01/16/2015"
681491,2015-01-15,House,1,"Introduced By Representative Jeff Farrington"
681491,2015-01-15,House,2,"Read A First Time"
681491,2015-01-15,House,3,"Referred To Committee On Tax Policy"
681491,2015-01-20,House,4,"Printed Bill Filed 01/16/2015"
681491,2015-02-11,House,5,"Reported With Recommendation Without Amendment"
681491,2015-02-11,House,6,"Referred To Second Reading"
681518,2015-01-15,House,1,"Introduced By Representative Holly Hughes"
